"Region-2
County-3
District-4",Type,School,FacilityName,Address,City,Zip,GradeServed,lat,lng
050160150,04,1011,Plum Grove Jr High School,2600 Plum Grove Rd,Rolling Meadows,60008 2042,7-8,42.073127,-88.053659
050160150,04,1014,Carl Sandburg Jr High School,2600 Martin Ln,Rolling Meadows,60008 2722,7-8,42.074553,-88.012548
050160150,04,1016,Winston Campus Jr High,120 N Babcock Dr,Palatine,60074 5599,7-8,42.112511,-88.021915
050160150,04,1018,Walter R Sundling Jr High Sch,1100 N Smith St,Palatine,60067 2606,7-8,42.132208,-88.048485
050160150,04,2001,Jane Addams Elem School,1020 E Sayles Dr,Palatine,60074 7274,K-6,42.123385,-88.018239
050160150,04,2003,Central Road Elem School,3800 Central Rd,Rolling Meadows,60008 2554,P-6,42.066891,-88.024443
050160150,04,2004,Marion Jordan Elem School,100 N Harrison Ave,Palatine,60067 0913,K-6,42.112377,-88.072856
050160150,04,2005,Kimball Hill Elem School,2905 Meadow Dr,Rolling Meadows,60008 1801,P-6,42.080407,-88.015192
050160150,04,2006,Hunting Ridge Elem School,1105 W Illinois Ave,Palatine,60067 6628,P-6,42.095446,-88.07088
050160150,04,2007,Lake Louise Elem School,500 N Jonathan Dr,Palatine,60074 4114,K-6,42.1181,-88.007697
050160150,04,2008,Lincoln Elementary School,1021 N Ridgewood Ln,Palatine,60067 3448,K-6,42.130188,-88.036534
050160150,04,2009,Stuart R Paddock School,225 W Washington St,Palatine,60067 6147,K-6,42.108396,-88.046802
050160150,04,2010,Pleasant Hill Elem School,434 W Illinois Ave,Palatine,60067 6745,P-6,42.096025,-88.054161
050160150,04,2013,Gray M Sanborn Elem School,101 N Oak St,Palatine,60067 5246,P-6,42.111808,-88.038742
050160150,04,2015,Virginia Lake Elem School,925 N Glenn Dr,Palatine,60074 7189,K-6,42.12643,-88.022897
050160150,04,2018,Willow Bend Elem School,4700 Barker Ave,Rolling Meadows,60008 3202,K-6,42.062265,-88.019175
050160150,04,2019,Winston Campus Elementary,900 E Palatine Rd,Palatine,60074 5552,K-6,42.110364,-88.021829
050160150,04,2020,Thomas Jefferson Elem School,3805 Winston Dr,Hoffman Estates,60192 1851,P-6,42.092625,-88.098958
050160150,04,2023,Frank C Whiteley Elem School,4335 Haman Ave,Hoffman Estates,60192 1306,P-6,42.102865,-88.104386
050160150,04,3001,John G Conyers Learning Academy,2800 Central Rd,Rolling Meadows,60008 2535,P-8,42.066844,-88.015569
050160210,04,1002,Cooper Middle School,1050 Plum Grove Cir,Buffalo Grove,60089 1911,6-8,42.14934,-87.985129
050160210,04,1006,Oliver W Holmes Middle School,221 S Wolf Rd,Wheeling,60090 4843,6-8,42.135269,-87.914894
050160210,04,1007,Jack London Middle School,1001 W Dundee Rd,Wheeling,60090 3908,6-8,42.139922,-87.903854
050160210,04,2003,Eugene Field Elem School,51 Saint Armand Ln,Wheeling,60090 3924,K-5,42.140549,-87.944923
050160210,04,2004,Robert Frost Elem School,1805 N Aspen Dr,Mt Prospect,60056 1682,K-5,42.099766,-87.89963
050160210,04,2007,Joyce Kilmer Elem School,655 Golfview Ter,Buffalo Grove,60089 3536,K-5,42.141216,-87.965728
050160210,04,2009,Henry W Longfellow Elem School,501 S Arlington Heights Rd,Buffalo Grove,60089 3245,P-5,42.146525,-87.985447
050160210,04,2010,Edgar A Poe Elem School,2800 N Highland Ave,Arlington Heights,60004 2116,P-5,42.12618,-87.985138
050160210,04,2011,J W Riley Elem School,1209 E Burr Oak Dr,Arlington Heights,60004 1660,P-5,42.128035,-87.968615
050160210,04,2013,Booth Tarkington Elem School,310 Scott St,Wheeling,60090 4432,P-5,42.133862,-87.950749
050160210,04,2014,Mark Twain Elem School,515 E Merle Ln,Wheeling,60090 4749,P-5,42.129873,-87.932203
050160210,04,2015,Walt Whitman Elem School,133 Wille Ave,Wheeling,60090 3127,P-5,42.137442,-87.909456
050160210,04,3001,Nathaniel Hawthorne Early Childhood Sch,200 Glendale St,Wheeling,60090 2948,P,42.141666,-87.919394
050160230,02,1002,MacArthur Middle School,700 N Schoenbeck Rd,Prospect Heights,60070 1231,6-8,42.10846,-87.94661
050160230,02,2001,Dwight D Eisenhower Elem School,700 N Schoenbeck Rd,Prospect Heights,60070 1231,P-1,42.10846,-87.94661
050160230,02,2004,Betsy Ross Elem School,700 N Schoenbeck Rd,Prospect Heights,60070 1231,2-3,42.10846,-87.94661
050160230,02,2005,Anne Sullivan Elem School,700 N Schoenbeck Rd,Prospect Heights,60070 1231,4-5,42.10846,-87.94661
050160250,02,1014,South Middle School,400 S Highland Ave,Arlington Heights,60005 1868,6-8,42.07726,-87.985388
050160250,02,1015,Thomas Middle School,1430 N Belmont Ave,Arlington Heights,60004 4832,6-8,42.103122,-87.978159
050160250,02,2002,Dryden Elem School,722 S Dryden Pl,Arlington Heights,60005 2764,K-5,42.071505,-87.971034
050160250,02,2004,Greenbrier Elem School,2330 N Verde Dr,Arlington Heights,60004 2867,P-5,42.118771,-87.998523
050160250,02,2005,Ivy Hill Elem School,2211 N Burke Dr,Arlington Heights,60004 3249,K-5,42.11564,-87.972556
050160250,02,2009,Olive-Mary Stitt School,303 E Olive St,Arlington Heights,60004 4754,K-5,42.099007,-87.97918
050160250,02,2011,Patton Elem School,1616 N Patton Ave,Arlington Heights,60004 3637,K-5,42.106851,-87.996216
050160250,02,2016,Westgate Elem School,500 S Dwyer Ave,Arlington Heights,60005 2261,K-5,42.074917,-87.997741
050160250,02,2018,Windsor Elementary School,1315 E Miner St,Arlington Heights,60004 6339,K-5,42.084415,-87.967195
050160260,02,1006,River Trails Middle School,1000 N Wolf Rd,Mt Prospect,60056 1551,"P,6-8",42.083394,-87.90786
050160260,02,2001,Euclid Elem School,1211 N Wheeling Rd,Mt Prospect,60056 1221,P-5,42.086253,-87.927179
050160260,02,2003,Indian Grove Elem School,1340 N Burning Bush Ln,Mt Prospect,60056 1854,P-5,42.090471,-87.898065
050160270,02,1005,Wood Oaks Jr High School,1250 Sanders Rd,Northbrook,60062 2900,6-8,42.1294,-87.879939
050160270,02,2002,Hickory Point Elem School,500 Laburnum Dr,Northbrook,60062 2227,P-2,42.143818,-87.868031
050160270,02,2004,Shabonee School,1000 Pfingsten Rd,Northbrook,60062 3316,3-5,42.133391,-87.848518
050160280,02,1004,Northbrook Junior High School,1475 Maple Ave,Northbrook,60062 5418,6-8,42.12531,-87.815155
050160280,02,2002,Greenbriar Elem School,1225 Greenbriar Ln,Northbrook,60062 4522,K-5,42.130457,-87.833758
050160280,02,2003,Meadowbrook Elem School,1600 Walters Ave,Northbrook,60062 4604,P-5,42.12715,-87.819378
050160280,02,2006,Westmoor Elem School,2500 Cherry Ln,Northbrook,60062 4414,P-5,42.131212,-87.843694
050160290,02,2001,Middlefork Primary School,405 Wagner Rd,Northfield,60093 2921,P-3,42.097849,-87.780615
050160290,02,2002,Sunset Ridge Elem School,525 Sunset Ridge Rd,Northfield,60093 1025,4-8,42.105431,-87.790088
050160300,02,1001,Maple School,2370 Shermer Rd,Northbrook,60062 6729,6-8,42.110027,-87.829387
050160300,02,2002,Willowbrook Elem School,2500 Happy Hollow Rd,Glenview,60026 1117,P-5,42.101523,-87.841851
050160300,02,2003,Wescott Elementary School,1820 Western Ave,Northbrook,60062 6052,1-5,42.119142,-87.839047
050160310,02,1001,Field School,2055 Landwehr Rd,Northbrook,60062 6413,6-8,42.114686,-87.858507
050160310,02,2002,Henry Winkelman Elem School,1919 Landwehr Rd,Glenview,60026 1243,P-5,42.090956,-87.858788
050160340,04,1006,Attea Middle School,2500 Chestnut Ave,Glenview,60026 7785,6-8,42.087255,-87.816384
050160340,04,1007,Springman Middle School,2701 Central Rd,Glenview,60025 4134,6-8,42.065558,-87.825169
050160340,04,2001,Glen Grove Elem School,3900 Glenview Rd,Glenview,60025 2421,3-5,42.073268,-87.854106
050160340,04,2002,Henking Elem School,2941 Linneman St,Glenview,60025 4035,P-2,42.069539,-87.834333
050160340,04,2003,Hoffman Elem School,2000 Harrison St,Glenview,60025 4940,3-5,42.062628,-87.808828
050160340,04,2004,Lyon Elem School,1335 Waukegan Rd,Glenview,60025 3064,P-2,42.08913,-87.798006
050160340,04,2005,Pleasant Ridge Elem School,1730 Sunset Ridge Rd,Glenview,60025 2210,3-5,42.086143,-87.790771
